product,image_file,image_url,image_candidates_json,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
"ARZOPA Z1FC, 16.1'' 144Hz Portable Gaming Monitor, 100% sRGB, 1080P FHD, Kickstand Portable Monitor, External Second Screen for PS5 Xbox Laptop PC Switch",arzopa-z1fc-16-1-144hz-portable-gaming-m-1729405471069737262.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/efa9a79b91224c0d80df2c2ef2fd9ca1.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/efa9a79b91224c0d80df2c2ef2fd9ca1.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/efa9a79b91224c0d80df2c2ef2fd9ca1~tplv-fhlh96nyum-crop-webp:2000:2000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",99.99,15100.0,185.8,8.0,8.0,26.0,10,,https://shop.tiktok.com/view/product/1729405471069737262,Adding the ARZOPA Z1FC to my cart before I change my mind. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"ASUS Adol OWS-G206 Bluetooth Headphones With 8MP EIS Stabilized Camera, First-person perspective",asus-adol-ows-g206-bluetooth-headphones--1732518232179577001.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/acf22988a0ca4ff685939497d20f25ec.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/acf22988a0ca4ff685939497d20f25ec.png""]",67.48,25300.0,464.4,10.0,6.75,23.0,10,,https://shop.tiktok.com/view/product/1732518232179577001,Consider this your reminder to grab the ASUS Adol OWS-G206 Bluetooth Headphones With 8MP you keep eyeing. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"FEPPO Mattress Vacuum Cleaner with UV-C light,for Dust Mites Removal, Bed Vacuum with Powerful Suction for Deep Cleaning of Beds, Sofas, and Upholstered Furnitu",feppo-mattress-vacuum-cleaner-with-uv-c--1729921786993480417.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/152b912d41414cc1812827cb1fa0bf07.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/152b912d41414cc1812827cb1fa0bf07.png"", ""https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/152b912d41414cc1812827cb1fa0bf07~tplv-fhlh96nyum-crop-webp:1600:1600.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",44.99,18270.0,142.6,8.0,3.6,44.0,8,,https://shop.tiktok.com/view/product/1729921786993480417,Stop overthinking the FEPPO Mattress Vacuum Cleaner with UV-C light and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"BASED Ultimate Skin Set | Under Eye Elixir, Daily Cleanser, Daily Moisturizer, Skin Revival Spray, White Face Towel | Simple, Effective, Based.",based-ultimate-skin-set-under-eye-elixir-1731944290169033014.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/1bb8c91fb711432b951539b41c38d9e3.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/1bb8c91fb711432b951539b41c38d9e3.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/1bb8c91fb711432b951539b41c38d9e3~tplv-fhlh96nyum-crop-webp:1500:1500.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",44.65,15630.0,66.0,10.0,4.46,62.0,9,,https://shop.tiktok.com/view/product/1731944290169033014,"I am so sorry if you already grabbed an BASED Ultimate Skin Set, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
Frost Buddy Halloween,frost-buddy-halloween-1732471007461348234.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/898903c20dcc46d4a9e4b5c9492aedc4.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/898903c20dcc46d4a9e4b5c9492aedc4.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/898903c20dcc46d4a9e4b5c9492aedc4~tplv-fhlh96nyum-crop-webp:2000:2000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=e1be8f53&idc=useast5&from=2378011839""]",24.29,20160.0,999.9,15.0,3.64,95.0,10,,https://shop.tiktok.com/view/product/1732471007461348234,The Frost Buddy Halloween everyone has been asking me about is finally back. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
