product,image_file,image_url,image_candidates_json,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
GHOST WAIST LOW RISE BAGGY JEANS | AMBER,ghost-waist-low-rise-baggy-jeans-amber-1732492106240791450.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/9304191ed2244f4ba9d2eeab7b4dc3de.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/9304191ed2244f4ba9d2eeab7b4dc3de.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/9304191ed2244f4ba9d2eeab7b4dc3de~tplv-fhlh96nyum-crop-webp:4000:4000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",181.81,56910.0,-88.5,12.0,21.82,69.0,5,,https://shop.tiktok.com/view/product/1732492106240791450,Adding the GHOST WAIST LOW RISE BAGGY JEANS to my cart before I change my mind. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
SOFT TECH GOOD CLASSIC BOOTCUT JEANS | INDIGO627,soft-tech-good-classic-bootcut-jeans-ind-1732047193653089178.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/f5c0be5fb8d545dab4efd6175877d191.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/f5c0be5fb8d545dab4efd6175877d191.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/f5c0be5fb8d545dab4efd6175877d191~tplv-fhlh96nyum-crop-webp:4000:4000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",168.0,51070.0,37.5,15.0,25.2,71.0,7,,https://shop.tiktok.com/view/product/1732047193653089178,Do NOT scroll past the SOFT TECH GOOD CLASSIC BOOTCUT JEANS if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
ALWAYS FITS GOOD LEGS STRAIGHT JEANS | INDIGO316,always-fits-good-legs-straight-jeans-ind-1729399563132375962.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/56005e4994994f65a8d6188c5e9ac962.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/56005e4994994f65a8d6188c5e9ac962.png"", ""https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/56005e4994994f65a8d6188c5e9ac962~tplv-fhlh96nyum-crop-webp:4000:4000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",159.0,47540.0,-0.7,15.0,23.85,35.0,5,,https://shop.tiktok.com/view/product/1729399563132375962,"Run, do not walk, to grab the ALWAYS FITS GOOD LEGS STRAIGHT JEANS. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
Mid-Thigh Bodysuit Shapewear with Boning - (LUXI-213/LUXI-013) - Comfort Shapewear with Abdominal and Butt-Lifting Design,mid-thigh-bodysuit-shapewear-with-boning-1731374969688003156.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/bd5a348c45ac4390b7ea9a3b98436480.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/bd5a348c45ac4390b7ea9a3b98436480.png"", ""https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/bd5a348c45ac4390b7ea9a3b98436480~tplv-fhlh96nyum-crop-webp:1000:1200.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",152.42,84290.0,58.5,14.0,21.34,66.0,10,,https://shop.tiktok.com/view/product/1731374969688003156,"Trust me, you want the Mid-Thigh Bodysuit Shapewear with Boning - in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
Colombian Faja with Built-in Bra | Boned Waist Sculpting + Butt Lifting | Pre-Molded Glutes | Silicone Lace Anti-Roll | 3-Row Hook + Zipper | Tummy Control | Sn,colombian-faja-with-built-in-bra-boned-w-1732438128911290806.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/37b30f591d504112bbed6491b3fa75c8.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/37b30f591d504112bbed6491b3fa75c8.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/37b30f591d504112bbed6491b3fa75c8~tplv-fhlh96nyum-crop-webp:1792:2389.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",129.79,65019.99999999999,11.2,15.0,19.47,43.0,9,,https://shop.tiktok.com/view/product/1732438128911290806,This is your sign to finally grab the Colombian Faja with Built-in Bra. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
BBL & Lipo | Stage 3 Faja Colombiana Shapewear | Strapless,bbl-lipo-stage-3-faja-colombiana-shapewe-1732359148086858166.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/2194f07acd404116ac540c87907fd20d.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/2194f07acd404116ac540c87907fd20d.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/2194f07acd404116ac540c87907fd20d~tplv-fhlh96nyum-crop-webp:722:960.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",114.95,72420.0,5.4,15.0,17.24,66.0,7,,https://shop.tiktok.com/view/product/1732359148086858166,"I am so sorry if you already grabbed an BBL & Lipo, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
ZESICA Women's Summer Short Sleeve Floral Bodycon Dress 2026 Ruched Mesh Wedding Guest Cocktail Party Maxi Dresses,zesica-women-s-summer-short-sleeve-flora-1732193915644973298.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/9ef2ebc8b2cd4b769c0ea000e08a61d1.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/9ef2ebc8b2cd4b769c0ea000e08a61d1.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/9ef2ebc8b2cd4b769c0ea000e08a61d1~tplv-fhlh96nyum-crop-webp:600:600.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",89.42,50170.0,6.1,10.0,8.94,41.0,5,,https://shop.tiktok.com/view/product/1732193915644973298,Consider this your reminder to grab the ZESICA Women's Summer Short Sleeve Floral Bodyco you keep eyeing. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
