product,image_file,image_url,image_candidates_json,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
"BISSELL® CrossWave® Edge All-in-One Floor Cleaner, Vacuums & Mops Simultaneously, Pet Hair & Hard Floors, ZeroGap™ Baseboard Cleaning, Corded, 4111A",bissell-crosswave-edge-all-in-one-floor--1732418732277732201.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e8c4ba68ca6742b4a3267d38c4904f6b.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e8c4ba68ca6742b4a3267d38c4904f6b.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/e8c4ba68ca6742b4a3267d38c4904f6b~tplv-fhlh96nyum-crop-webp:1000:1000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=e1be8f53&idc=useast5&from=2378011839""]",179.39,137230.0,848.2,10.0,17.94,85.0,10,,https://shop.tiktok.com/view/product/1732418732277732201,Do NOT scroll past the BISSELL® CrossWave® Edge All-in-One Floor Cleane if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Herbiary Kidney Tea Formula-Organic Ginseng Five Treasure Tea for Men & Women | Traditional Healthy Kidney Detox Tea & Cleanse | Natural Herbal Ingredients Valu,herbiary-kidney-tea-formula-organic-gins-1732084977712926781.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/f01ef8a45b694e8486531e1e9e0a9e00.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/f01ef8a45b694e8486531e1e9e0a9e00.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/f01ef8a45b694e8486531e1e9e0a9e00~tplv-fhlh96nyum-crop-webp:1192:1206.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",100.0,29900.0,782.8,26.0,26.0,19.0,9,,https://shop.tiktok.com/view/product/1732084977712926781,POV: you found the Herbiary Kidney Tea Formula-Organic Ginseng Five before everyone else did. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
[Summer Essential] baleaf Women's Lightweight UPF50+ Quick Dry Ankle Pants with 4 Pockets Breathable Stretch for Commute Travel Hiking Golf Bottoms #SummerVibes,summer-essential-baleaf-women-s-lightwei-1732285012158877949.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/9b9518fb5e494ca4ae6e8aace8c6e020.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/9b9518fb5e494ca4ae6e8aace8c6e020.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/9b9518fb5e494ca4ae6e8aace8c6e020~tplv-fhlh96nyum-crop-webp:1200:1200.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",59.99,15300.0,111.4,10.0,6.0,47.0,10,,https://shop.tiktok.com/view/product/1732285012158877949,"I am so sorry if you already grabbed an baleaf Women's Lightweight UPF50+ Quick Dry Ankl, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
OOW Cowboy Boot Slippers for Men Western House Slippers Indoor & Outdoor Square Toe Chestnut Soft Faux Fur Lining Durable Cotton Fabric Flat Footwear,oow-cowboy-boot-slippers-for-men-western-1731785937247834642.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e4311ee3c05741509ea7c7dac77d518a.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e4311ee3c05741509ea7c7dac77d518a.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/e4311ee3c05741509ea7c7dac77d518a~tplv-fhlh96nyum-crop-webp:2000:2000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",32.99,19500.0,770.8,5.0,1.65,40.0,10,,https://shop.tiktok.com/view/product/1731785937247834642,Your future self will thank you for grabbing the OOW Cowboy Boot Slippers for Men Western House S today. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Disney Princess Collection,disney-princess-collection-1731714736398176888.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/414b912ffd024cf098716e8fd7afd470.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/414b912ffd024cf098716e8fd7afd470.png"", ""https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/414b912ffd024cf098716e8fd7afd470~tplv-fhlh96nyum-crop-webp:1080:1080.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",27.99,20770.0,449.2,10.0,2.8,53.0,5,,https://shop.tiktok.com/view/product/1731714736398176888,Your future self will thank you for grabbing the Disney Princess Collection today. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"SRGARH Powerful Cordless Miniaturized Portable Turbo Fan - High-Speed Handheld Rechargeable Type-C Charging Fan for Car, Electronics Cleaning, Powerful Turbo Fa",srgarh-powerful-cordless-miniaturized-po-1729533719501836920.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/860f2b0952bb421dba9776096d4d637a.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/860f2b0952bb421dba9776096d4d637a.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/860f2b0952bb421dba9776096d4d637a~tplv-fhlh96nyum-crop-webp:1600:1600.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",27.33,16400.0,119.5,12.0,3.28,70.0,6,,https://shop.tiktok.com/view/product/1729533719501836920,Adding the SRGARH Powerful Cordless Miniaturized Portable T to my cart before I change my mind. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
SKINN Cosmetics DermAppeal Microdermabrasion BeautyTreatment w/ V5 Crystal Technology Facial Exfoliate Tube - Powerful Microdermabrasion Skincare Treatment for ,skinn-cosmetics-dermappeal-microdermabra-1729440536764911793.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/5ef27df190014a30a4f6ac3f66122e77.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/5ef27df190014a30a4f6ac3f66122e77.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/4dc260a186ae4a5f96269855ac5e999a~tplv-fhlh96nyum-crop-webp:2000:2000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",26.28,18630.0,999.9,15.0,3.94,72.0,8,,https://shop.tiktok.com/view/product/1729440536764911793,This is your sign to finally grab the SKINN Cosmetics DermAppeal Microdermabrasion Bea. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
