product,image_file,image_url,image_candidates_json,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
"BISSELL® CrossWave® Edge All-in-One Floor Cleaner, Vacuums & Mops Simultaneously, Pet Hair & Hard Floors, ZeroGap™ Baseboard Cleaning, Corded, 4111A",bissell-crosswave-edge-all-in-one-floor--1732418732277732201.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e8c4ba68ca6742b4a3267d38c4904f6b.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e8c4ba68ca6742b4a3267d38c4904f6b.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/e8c4ba68ca6742b4a3267d38c4904f6b~tplv-fhlh96nyum-crop-webp:1000:1000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=e1be8f53&idc=useast5&from=2378011839""]",179.39,114090.0,257.6,10.0,17.94,88.0,10,,https://shop.tiktok.com/view/product/1732418732277732201,Do NOT scroll past the BISSELL® CrossWave® Edge All-in-One Floor Cleane if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"2-Pack AMZPURE Men's Stretch Slim Muscle Fit Short Sleeve Dress Shirts Casual Button-Down Style Perfect Menswear for Dad,back to school,back to school shopping ",2-pack-amzpure-men-s-stretch-slim-muscle-1732209806668828999.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/6c6525266618418a9cbb2c7b127eec56.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/6c6525266618418a9cbb2c7b127eec56.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/6c6525266618418a9cbb2c7b127eec56~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",42.99,15650.0,181.7,10.0,4.3,56.0,10,,https://shop.tiktok.com/view/product/1732209806668828999,Stop overthinking the 2-Pack AMZPURE Men's Stretch Slim Muscle Fit Sho and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Drayvorx 2-in-1 Cordless Electric Grill Brush & Spin Scrubber - Barbecue Utensils with Stainless Steel Wire & Pad Heads, 3-Speed Motor, High-Torque for Outdoor ",drayvorx-2-in-1-cordless-electric-grill--1731471640799711998.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/1e58481f53e04629a41941961ad0dba9.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/1e58481f53e04629a41941961ad0dba9.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/1e58481f53e04629a41941961ad0dba9~tplv-fhlh96nyum-crop-webp:1600:1600.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",27.99,35410.0,258.6,8.0,2.24,46.0,6,,https://shop.tiktok.com/view/product/1731471640799711998,Do NOT scroll past the Drayvorx 2-in-1 Cordless Electric Grill Brush &  if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
[ELROEL Official Store] ELROEL Blanc Cover Cream Stick V White - Korean Color-Changing Foundation Stick with Volufiline - Medium to Full Coverage Dewy Finish Ba,elroel-official-store-elroel-blanc-cover-1732244344172417451.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/37060cbe26a949cb9be1eb6a83a3e939.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/37060cbe26a949cb9be1eb6a83a3e939.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/37060cbe26a949cb9be1eb6a83a3e939~tplv-fhlh96nyum-crop-webp:1000:1000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",26.08,24410.0,362.9,15.0,3.91,70.0,9,,https://shop.tiktok.com/view/product/1732244344172417451,"I am so sorry if you already grabbed an ELROEL Blanc Cover Cream Stick V White - Korean , because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
