product,image_file,image_url,image_candidates_json,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
BISSELL SpinWave + VAC All In One Spin Mop and Vacuum,bissell-spinwave-vac-all-in-one-spin-mop-1732319863251375047.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e7e852e1bea44c11851e7a16bea44112.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e7e852e1bea44c11851e7a16bea44112.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/e7e852e1bea44c11851e7a16bea44112~tplv-fhlh96nyum-crop-webp:1291:1148.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",248.0,72660.0,385.1,18.0,44.64,71.0,9,,https://shop.tiktok.com/view/product/1732319863251375047,"Trust me, you want the BISSELL SpinWave + VAC All In One Spin Mop and V in your cart today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"SEESE Cordless Lawn Mower, Garden Tool (Mower, Trimmer, Edger) with 2×21V Batteries, Lightweight for Small to Medium Backyards Grass Cutting Tool Grasscutters",seese-cordless-lawn-mower-garden-tool-mo-1732407423159669066.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/0bf320074ed248c98a4f27f7ce0a4fec.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/0bf320074ed248c98a4f27f7ce0a4fec.png"", ""https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/0bf320074ed248c98a4f27f7ce0a4fec~tplv-fhlh96nyum-crop-webp:1600:1600.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",104.99,28660.0,435.7,8.0,8.4,88.0,9,,https://shop.tiktok.com/view/product/1732407423159669066,Your future self will thank you for grabbing the SEESE Cordless Lawn Mower today. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Legendairy Milk 8 oz Silicone Collection Cups - Hands-Free, BPA-Free Plastic, Food-Grade Frosted Silicone, Portable Breast Care Milk Collection Cups",legendairy-milk-8-oz-silicone-collection-1731846112092393716.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/a4593e5373db423d973336d90a39d2bf.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/a4593e5373db423d973336d90a39d2bf.png""]",74.99,33820.0,999.9,10.0,7.5,84.0,8,,https://shop.tiktok.com/view/product/1731846112092393716,This is your sign to finally grab the Legendairy Milk 8 oz Silicone Collection Cups - . 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Spanish & English Practice Companion – Supports 165 Languages，Tu compañero para practicar español e inglés – Soporta 165 idiomas,spanish-english-practice-companion-suppo-1732440023117369513.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/820ce0ae79544d5cba1ceff2934b4988.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/820ce0ae79544d5cba1ceff2934b4988.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/820ce0ae79544d5cba1ceff2934b4988~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=e1be8f53&idc=useast5&from=2378011839""]",39.99,15520.0,162.1,12.0,4.8,25.0,7,,https://shop.tiktok.com/view/product/1732440023117369513,"I am so sorry if you already grabbed an Spanish & English Practice Companion – Supports , because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"GEECO Purple Gel Seat Cushion, Firm Honeycomb Cooling Seat Pad with Non-Slip Cover, 16.54 x 14.17 x 1.38 in, Washable Cushion for Office Chair, Car Seat, Home &",geeco-purple-gel-seat-cushion-firm-honey-1729502566268048682.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/effcad440b1443e79e34874ea28262e6.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/effcad440b1443e79e34874ea28262e6.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/effcad440b1443e79e34874ea28262e6~tplv-fhlh96nyum-crop-webp:1254:1254.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",19.9,24500.0,657.7,12.0,2.39,27.0,10,,https://shop.tiktok.com/view/product/1729502566268048682,Do NOT scroll past the GEECO Purple Gel Seat Cushion if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
