product,image_file,image_url,image_candidates_json,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
Clarks Collection Loafers -Westlynn Ayla,clarks-collection-loafers-westlynn-ayla-1731966485847774151.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/b386584621e24c93b2f8b2024bf215ff.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/b386584621e24c93b2f8b2024bf215ff.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/b386584621e24c93b2f8b2024bf215ff~tplv-fhlh96nyum-crop-webp:2000:1778.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",64.98,18190.0,999.9,18.0,11.7,11.0,7,,https://shop.tiktok.com/view/product/1731966485847774151,I can not believe how good the Clarks Collection Loafers -Westlynn Ayla is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Drayvorx 2-in-1 Cordless Electric Grill Brush & Spin Scrubber - Barbecue Utensils with Stainless Steel Wire & Pad Heads, 3-Speed Motor, High-Torque for Outdoor ",drayvorx-2-in-1-cordless-electric-grill--1731471640799711998.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/1e58481f53e04629a41941961ad0dba9.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/1e58481f53e04629a41941961ad0dba9.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/1e58481f53e04629a41941961ad0dba9~tplv-fhlh96nyum-crop-webp:1600:1600.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",59.99,16500.0,141.4,8.0,4.8,44.0,5,,https://shop.tiktok.com/view/product/1731471640799711998,POV: you found the Drayvorx 2-in-1 Cordless Electric Grill Brush &  before everyone else did. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
Halara UltraSculpt High Waisted Tummy Control Pocket Shaping Training Leggings,halara-ultrasculpt-high-waisted-tummy-co-1730356078947897636.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/4b022ab75e644df2932f858261882425.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/4b022ab75e644df2932f858261882425.png"", ""https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/4b022ab75e644df2932f858261882425~tplv-fhlh96nyum-crop-webp:2800:2800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",27.95,19120.0,109.4,10.0,2.79,89.0,9,,https://shop.tiktok.com/view/product/1730356078947897636,Stop overthinking the Halara UltraSculpt High Waisted Tummy Control Po and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
