product,image_file,image_url,image_candidates_json,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,caption,scene_prompt
"BISSELL® CrossWave® Edge All-in-One Floor Cleaner, Vacuums & Mops Simultaneously, Pet Hair & Hard Floors, ZeroGap™ Baseboard Cleaning, Corded, 4111A",bissell-crosswave-edge-all-in-one-floor--1732418732277732201.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e8c4ba68ca6742b4a3267d38c4904f6b.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/e8c4ba68ca6742b4a3267d38c4904f6b.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/e8c4ba68ca6742b4a3267d38c4904f6b~tplv-fhlh96nyum-crop-webp:1000:1000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=e1be8f53&idc=useast5&from=2378011839""]",179.39,15250.0,53.5,10.0,17.94,80.0,10,,https://shop.tiktok.com/view/product/1732418732277732201,"Run, do not walk, to grab the BISSELL® CrossWave® Edge All-in-One Floor Cleane. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
[26 inch only $119] Afterblack Burmese Curly Glueless Half Wig For Women Seamless Flip Over Drawstring Wig Wear Go Half Wig Invisible Hairline Glueless Curly Hu,26-inch-only-119-afterblack-burmese-curl-1732274127777993165.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/2574b056aab24344b99ec60f8ce00abf.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/2574b056aab24344b99ec60f8ce00abf.png"", ""https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/2574b056aab24344b99ec60f8ce00abf~tplv-fhlh96nyum-crop-webp:1000:1000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",144.0,25920.0,58.7,1.0,1.44,86.0,7,,https://shop.tiktok.com/view/product/1732274127777993165,"Run, do not walk, to grab the Afterblack Burmese Curly Glueless Half Wig For W. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
Birkenstock Arizona SYN Leopard Sandal,birkenstock-arizona-syn-leopard-sandal-1732415856755118364.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/3be4a31e20194cc3b71d1fc46150ed4c.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/3be4a31e20194cc3b71d1fc46150ed4c.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/d11165ed4b984a78b7b2f8518b760f6c~tplv-fhlh96nyum-crop-webp:600:600.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=e1be8f53&idc=useast5&from=2378011839""]",117.95,15100.0,999.9,15.0,17.69,10.0,10,,https://shop.tiktok.com/view/product/1732415856755118364,The Birkenstock Arizona SYN Leopard Sandal is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
SEESE 3 in 1 Cordless Impact Wrench 590 FT-LBS(800N.m) 3200IPM 1/2 Impact Gun High Torque Electric Impact Driver Cordless Impact Wrench with 21V 2 x4.0Ah Batter,seese-3-in-1-cordless-impact-wrench-590--1732388293981081930.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/6b56246a52334a008450b6e1331b9337.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/6b56246a52334a008450b6e1331b9337.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/6b56246a52334a008450b6e1331b9337~tplv-fhlh96nyum-crop-webp:1500:1500.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",74.98,41310.0,526.7,5.0,3.75,92.0,10,,https://shop.tiktok.com/view/product/1732388293981081930,"Run, do not walk, to grab the SEESE 3 in 1 Cordless Impact Wrench 590 FT-LBS. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
"GEECO Purple Gel Seat Cushion, Firm Honeycomb Cooling Seat Pad with Non-Slip Cover, 16.54 x 14.17 x 1.38 in, Washable Cushion for Office Chair, Car Seat, Home &",geeco-purple-gel-seat-cushion-firm-honey-1729502566268048682.jpg,https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/effcad440b1443e79e34874ea28262e6.png,"[""https://img.kalocdn.com/tiktok.product.images/tos-useast5-i-omjb5zjo8w-tx/effcad440b1443e79e34874ea28262e6.png"", ""https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/effcad440b1443e79e34874ea28262e6~tplv-fhlh96nyum-crop-webp:1254:1254.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839""]",19.9,20380.0,203.4,12.0,2.39,49.0,10,,https://shop.tiktok.com/view/product/1729502566268048682,The GEECO Purple Gel Seat Cushion everyone has been asking me about is finally back. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
