product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,source_creator,source_creator_name,source_creator_revenue,source_creator_rank,source_creators_all,creator_item_sold,caption,scene_prompt
YeeZaa Poncho Pea Coat for Women Wool Blend Oversized Belted 2026 Fashion Fall Winter Elegant Stand Collar Cropped Cape Jacket Batwing Sleeve Trendy Casual  Outerwear Overcoat,yeezaa-poncho-pea-coat-for-women-wool-bl-1732492379438354476.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/fb414569de15463697f6c46ffda1979e~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,36.5,37510.0,,10.0,3.65,,9,athlisan,https://shop.tiktok.com/view/product/1732492379438354476,@torijflow,Tori Flowers,1070000.0,1,@torijflow,856.0,Do NOT scroll past the YeeZaa Poncho Pea Coat for Women Wool Blend Over if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
UANEO Womens Cropped Trench Coat Classic Collar Oversized Casual Jackets with Checkered Lining SummerVibes,uaneo-womens-cropped-trench-coat-classic-1731900687663665461.jpg,https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/6aba90cf584a4879b7eedc72f5697557~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,30.81,26970.0,,11.0,3.39,,9,uaneo,https://shop.tiktok.com/view/product/1731900687663665461,@torijflow,Tori Flowers,1070000.0,1,@torijflow,855.0,Adding the UANEO Womens Cropped Trench Coat Classic Collar  to my cart before I change my mind. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Curvysweet Claire Women’s Sleeveless Acrylic Knitting Halter Neck Mesh Backless Below Ankle Maxi Dress - Elegant Formal Party Gown, Draped, Ruched, Basic Tie Bodycon Summer Wedding",curvysweet-claire-women-s-sleeveless-acr-1732316229382607396.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/a1e536ff1f0a43b08729307580213a51~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,61.31,26770.0,,12.0,7.36,,9,CurvySweet-US,https://shop.tiktok.com/view/product/1732316229382607396,@torijflow,Tori Flowers,1070000.0,1,@torijflow,425.0,Your future self will thank you for grabbing the Curvysweet Claire Women’s Sleeveless Acrylic Kni today. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
"Elegant Chic Women's Knitted High Neck Cardigan, Fashion Fitted Cardigan, Long Sleeve Ribbed Design, Faux Button Detail, Perfect for Spring & Fall Fashion, Knitwear",elegant-chic-women-s-knitted-high-neck-c-1731739733524844826.jpg,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/5a8d5b058c85482cbf61f6a1ee4dfccc~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,39.31,20770.0,,8.0,3.14,,9,LILYTREE,https://shop.tiktok.com/view/product/1731739733524844826,@torijflow,Tori Flowers,1070000.0,1,@torijflow,642.0,"Run, do not walk, to grab the Elegant Chic Women's Knitted High Neck Cardigan. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting"
HSIA Bella Women's Convertible Strapless Minimizer Bandeau Bra Underwire Unlined for Large Bust,hsia-bella-women-s-convertible-strapless-1730931316408357062.jpg,https://p16-oec-general.ttcdn-us.com/tos-alisg-i-aphluv4xwc-sg/543ee6d60e1a4239897200bcc735693d~tplv-fhlh96nyum-origin-jpeg.jpeg?dr=12178&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=useast5&from=2739998086,25.56,59810.0,,12.0,3.07,,7,Hsia-Bras,https://shop.tiktok.com/view/product/1730931316408357062,@huntergrazianoo,huntergrazianoo,762740.0,2,@huntergrazianoo,2070.0,The HSIA Bella Women's Convertible Strapless Minimiz is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting"
